Date,PX_OPEN,PX_HIGH,PX_LOW,PX_CLOSE_1D,PX_VOLUME,OPEN_INT,INSTRUMENT,SECTYPE,EXCHANGE,CRNCY,TICK_SIZE,TICK_VALUE,POINT_VALUE,CONTRACT_VALUE,near,far,st_dev,no_days,Standard Cost,Instrument_Weights,Exchange rate,normalised_price_ewma_norm,capped_forecast,forecast*returns,cum_series
2021-01-01,3.1859,3.86,3.0178,3.6497,3817118.74,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.6497,3.6497,3.6497,3.473099752094661,1,0.0006,0.5,1,0.0,0.0,,0.0
2021-01-02,3.6544,3.939,3.2851,3.4956,1768205.15,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4956,3.4956,3.4956,3.463580273780449,2,0.0,0.5,1,0.0,0.0,-0.0,0.0
2021-01-03,3.5005,3.83,3.3916,3.4691,989465.26,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.4691,3.4691,3.4691,3.3960850004666745,3,0.0,0.5,1,-31.18494539094644,-5.631146627800864,-0.0,0.0
2021-01-04,3.477,3.83,3.2283,3.5999,1242545.27,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,3.5999,3.5999,3.5999,3.2479396488227326,4,0.0,0.5,1,57.85815505686067,5.503140488113417,-0.21231846268955967,-0.21231846268955967
2021-01-05,3.5999,4.3556,3.4703,4.2501,2403396.82,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.2501,4.2501,4.2501,3.076670399260247,5,0.0,0.5,1,233.78118052514554,17.6615089924615,0.9939559280455971,0.7816374653560374
2021-01-06,4.2502,4.9773,4.1361,4.5788,2925158.25,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.5788,4.5788,4.5788,2.8730348118139357,6,0.0,0.5,1,317.2060545140506,20.0,1.365929744199453,2.1475672095554903
2021-01-07,4.5803,4.8205,4.1827,4.4707,1471492.75,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,4.4707,4.4707,4.4707,2.5558953291464483,7,0.0,0.5,1,286.9927390296404,20.0,-0.4721761160129301,1.6753910935425602
2021-01-08,4.4728,5.9,4.0,5.7,3037659.66,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,5.7,5.7,5.7,2.3188465553736886,8,0.0,0.5,1,482.3167980946214,20.0,5.499362515937105,7.174753609479666
2021-01-09,5.6999,7.487,5.5761,7.1877,4060100.24,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,7.1877,7.1877,7.1877,2.1682796524033323,9,0.0,0.5,1,647.9160998684438,20.0,5.220000000000002,12.394753609479668
2021-01-10,7.2115,7.4969,6.15,6.5416,1865913.15,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,6.5416,6.5416,6.5416,1.911794143261906,10,0.0,0.5,1,567.4414919414814,20.0,-1.7977934527039263,10.596960156775742
2021-01-11,6.541,7.0,5.72,6.4713,2065598.3,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,6.4713,6.4713,6.4713,1.6103469565593616,11,0.0,0.5,1,558.2395501168634,20.0,-0.21493212669683182,10.38202803007891
2021-01-12,6.4623,8.2356,6.4198,7.72,3138438.02,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,7.72,7.72,7.72,1.366121851658535,12,0.0,0.5,1,691.0595877683006,20.0,3.8591936705144247,14.241221700593336
2021-01-13,7.7254,8.5,7.1356,8.4695,1712008.71,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,8.4695,8.4695,8.4695,1.1537025620058852,13,0.0,0.5,1,765.4671170932376,20.0,1.941709844559587,16.182931545152922
2021-01-14,8.4693,9.6004,8.21,9.3177,2550051.08,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,9.3177,9.3177,9.3177,1.1097985883056698,14,0.0,0.5,1,843.7509441085891,20.0,2.002951768109096,18.185883313262018
2021-01-15,9.3192,9.89,8.57,9.3794,1991192.96,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,9.3794,9.3794,9.3794,1.0493289793707983,15,0.0,0.5,1,849.5882978571243,20.0,0.13243611620893603,18.318319429470954
2021-01-16,9.3795,13.4991,9.1629,12.8421,3898717.61,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,12.8421,12.8421,12.8421,1.5696607512788412,16,0.0,0.5,1,1052.7526874203597,20.0,7.383627950615179,25.701947380086132
2021-01-17,12.8222,14.69,12.3231,13.1746,3568856.68,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,13.1746,13.1746,13.1746,1.9524781607781894,17,0.0,0.5,1,1072.2972520810097,20.0,0.5178280810770808,26.219775461163213
2021-01-18,13.1748,13.858,12.5737,12.7035,1317372.42,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,12.7035,12.7035,12.7035,3.0510859461535618,18,0.0,0.5,1,1043.068002102471,20.0,-0.7151640277503679,25.504611433412844
2021-01-19,12.6825,14.0,11.3433,11.7367,1846921.9,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,11.7367,11.7367,11.7367,4.715956112480489,19,0.0,0.5,1,977.7192277927873,20.0,-1.522100208603927,23.982511224808917
2021-01-20,11.7346,13.0765,11.03,12.3768,1515429.53,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,12.3768,12.3768,12.3768,6.054972431020725,20,0.0,0.5,1,1019.8294869721466,20.0,1.0907665698194524,25.073277794628368
2021-01-21,12.3768,13.0147,11.0659,11.3225,1717139.33,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,11.3225,11.3225,11.3225,3.473099752094661,21,0.0,0.5,1,943.7470375440342,20.0,-1.7036713851722562,23.36960640945611
2021-01-22,11.3329,13.3899,10.673,12.7097,2250602.42,,AVAXUSDT_daily,CRYPTO,BINANCE,USDT,1,1,1,12.7097,12.7097,12.7097,3.463580273780449,22,0.0,0.5,1,1034.0160166102144,20.0,2.4503422389048346,25.819948648360945
